"id_str","twitter","bioid","name","gender","chamber","party","followers_count"
20209807,"AnderCrenshaw","C001045","Ander Crenshaw","M","rep","Republican",9107
234797704,"AustinScottGA08","S001189","Austin Scott","M","rep","Republican",8316
82453460,"BennieGThompson","T000193","Bennie G. Thompson","M","rep","Democrat",5002
516880804,"BettyMcCollum04","M001143","Betty McCollum","F","rep","Democrat",7211
74508260,"BillPascrell","P000096","Bill Pascrell Jr.","M","rep","Democrat",5362
137823987,"BlumenauerMedia","B000574","Earl Blumenauer","M","rep","Democrat",2799
15394954,"BobLatta","L000566","Robert E. Latta","M","rep","Republican",16478
30216513,"BradSherman","S000344","Brad Sherman","M","rep","Democrat",8641
305620929,"Call_Me_Dutch","R000576","C. A. Dutch Ruppersberger","M","rep","Democrat",6037
15281676,"CandiceMiller","M001150","Candice S. Miller","F","rep","Republican",9952
17976923,"CathyMcMorris","M001159","Cathy McMorris Rodgers","F","rep","Republican",24263
21312077,"CBRangel","R000053","Charles B. Rangel","M","rep","Democrat",24523
48086014,"ChakaFattah","F000043","Chaka Fattah","M","rep","Democrat",11592
14984637,"ChelliePingree","P000597","Chellie Pingree","F","rep","Democrat",12841
150078976,"ChrisMurphyCT","M001169","Christopher Murphy","M","sen","Democrat",41609
18137749,"ChrisVanHollen","V000128","Chris Van Hollen","M","rep","Democrat",25569
10615232,"ChuckGrassley","G000386","Chuck Grassley","M","sen","Republican",94236
188019606,"Clyburn","C000537","James E. Clyburn","M","rep","Democrat",29086
295685416,"ConawayTX11","C001062","K. Michael Conaway","M","rep","Republican",5358
25086658,"CongBillPosey","P000599","Bill Posey","M","rep","Republican",10263
24183358,"CongCulberson","C001048","John Abney Culberson","M","rep","Republican",7398
233761277,"CongHuelskamp","H001057","Tim Huelskamp","M","rep","Republican",13475
76132891,"CongMikeSimpson","S001148","Michael K. Simpson","M","rep","Republican",4135
299883942,"CongPalazzo","P000601","Steven M. Palazzo","M","rep","Republican",7267
242761889,"CongressmanDan","B001271","Dan Benishek","M","rep","Republican",9383
18967498,"CongressmanGT","T000467","Glenn Thompson","M","rep","Republican",11007
2975091705,"congressmanhice","H001071","Jody B. Hice","M","rep","Republican",1565
1089859058,"CongressmanRuiz","R000599","Raul Ruiz","M","rep","Democrat",3237
22831059,"CynthiaLummis","L000571","Cynthia M. Lummis","F","rep","Republican",12325
22509548,"DarrellIssa","I000056","Darrell E. Issa","M","rep","Republican",207625
510516465,"DaveLoebsack","L000565","David Loebsack","M","rep","Democrat",3424
16102244,"DaveReichert","R000578","David G. Reichert","M","rep","Republican",10486
235312723,"DesJarlaisTN04","D000616","Scott DesJarlais","M","rep","Republican",8026
3122099613,"DonaldNorcross","N000188","Donald Norcross","M","rep","Democrat",1029
38254095,"DorisMatsui","M001163","Doris O. Matsui","F","rep","Democrat",12245
52503751,"DrPhilRoe","R000582","David P. Roe","M","rep","Republican",9576
23600262,"EleanorNorton","N000147","Eleanor Holmes Norton","F","rep","Democrat",16720
17896154,"Farenthold","F000460","Blake Farenthold","M","rep","Republican",7907
31801993,"FrankPallone","P000034","Frank Pallone Jr.","M","rep","Democrat",15231
78445977,"GerryConnolly","C001078","Gerald E. Connolly","M","rep","Democrat",8896
432676344,"GKButterfield","B001251","G. K. Butterfield","M","rep","Democrat",6158
19739126,"GOPLeader","M001165","Kevin McCarthy","M","rep","Republican",67945
161411080,"GraceNapolitano","N000179","Grace F. Napolitano","F","rep","Democrat",8966
14845376,"GrahamBlog","G000359","Lindsey Graham","M","sen","Republican",92156
23712174,"GreggHarper","H001045","Gregg Harper","M","rep","Republican",12313
22812754,"GregoryMeeks","M001137","Gregory W. Meeks","M","rep","Democrat",11479
242926427,"HerreraBeutler","H001056","Jaime Herrera Beutler","F","rep","Republican",7309
2963445730,"hurdonthehill","H001073","Will Hurd","M","rep","Republican",3804
20546536,"InhofePress","I000024","James M. Inhofe","M","sen","Republican",11527
80612021,"JacksonLeeTX18","J000032","Sheila Jackson Lee","F","rep","Democrat",17773
31611298,"JAHimes","H001047","James A. Himes","M","rep","Democrat",19537
24195214,"JanSchakowsky","S001145","Janice D. Schakowsky","F","rep","Democrat",17290
15361570,"JaredPolis","P000598","Jared Polis","M","rep","Democrat",33756
17800215,"JasonInTheHouse","C001076","Jason Chaffetz","M","rep","Republican",102941
16056306,"JeffFlake","F000444","Jeff Flake","M","sen","Republican",28097
18805303,"JeffFortenberry","F000449","Jeff Fortenberry","M","rep","Republican",10907
18632666,"JerryMoran","M000934","Jerry Moran","M","sen","Republican",21298
18166778,"Jim_Jordan","J000289","Jim Jordan","M","rep","Republican",24851
18909919,"JimLangevin","L000559","James R. Langevin","M","rep","Democrat",11486
851621377,"JimPressOffice","S000244","F. James Sensenbrenner Jr.","M","rep","Republican",2552
231510077,"JoaquinCastrotx","C001091","Joaquin Castro","M","rep","Democrat",32671
5558312,"JohnBoozman","B001236","John Boozman","M","sen","Republican",25705
237770636,"JohnCarneyde","C001083","John C. Carney Jr.","M","rep","Democrat",9550
13218102,"JohnCornyn","C001056","John Cornyn","M","sen","Republican",71301
18030431,"JudgeCarter","C001051","John R. Carter","M","rep","Republican",11287
74198348,"JudgeTedPoe","P000592","Ted Poe","M","rep","Republican",14595
14135426,"KeithEllison","E000288","Keith Ellison","M","rep","Democrat",71240
1155212191,"KeithRothfus","R000598","Keith J. Rothfus","M","rep","Republican",3137
22545491,"KenCalvert","C000059","Ken Calvert","M","rep","Republican",5747
15856366,"LamarSmithTX21","S000583","Lamar Smith","M","rep","Republican",14173
18061669,"LisaMurkowski","M001153","Lisa Murkowski","F","sen","Republican",33098
108376246,"LorettaSanchez","S000030","Loretta Sanchez","F","rep","Democrat",17180
63169388,"LouiseSlaughter","S000480","Louise McIntosh Slaughter","F","rep","Democrat",12097
322013313,"LuisGutierrez","G000535","Luis V. Gutiérrez","M","rep","Democrat",589
377534571,"MacTXPress","T000238","Mac Thornberry","M","rep","Republican",4653
37094727,"MarioDB","D000600","Mario Diaz-Balart","M","rep","Republican",20243
402719755,"MarkAmodeiNV2","A000369","Mark E. Amodei","M","rep","Republican",6043
3047090620,"MarkeyMemo","M000133","Edward J. Markey","M","sen","Democrat",59
7429102,"MarkWarner","W000805","Mark R. Warner","M","sen","Democrat",55921
278145569,"MarshaBlackburn","B001243","Marsha Blackburn","F","rep","Republican",19368
1099199839,"MartinHeinrich","H001046","Martin Heinrich","M","sen","Democrat",9111
36686040,"MaxineWaters","W000187","Maxine Waters","F","rep","Democrat",29528
92186819,"MazieHirono","H001042","Mazie K. Hirono","F","sen","Democrat",15580
57065141,"McCaskillOffice","M001170","Claire McCaskill","F","sen","Democrat",6982
339822881,"McConnellPress","M000355","Mitch McConnell","M","sen","Republican",62032
15751083,"MichaelCBurgess","B001248","Michael C. Burgess","M","rep","Republican",15370
600463589,"MikeCrapo","C000880","Mike Crapo","M","sen","Republican",14184
935368364,"MikeKellyPA","K000376","Mike Kelly","M","rep","Republican",5650
15764644,"NancyPelosi","P000197","Nancy Pelosi","F","rep","Democrat",722010
242892689,"NikiInTheHouse","T000465","Niki Tsongas","F","rep","Democrat",9587
221792092,"NitaLowey","L000480","Nita M. Lowey","F","rep","Democrat",10889
236279233,"NormaJTorres","T000474","Norma J. Torres","F","rep","Democrat",3212
164369297,"NydiaVelazquez","V000081","Nydia M. Velázquez","F","rep","Democrat",8610
27676828,"PatrickMcHenry","M001156","Patrick T. McHenry","M","rep","Republican",15644
293131808,"PattyMurray","M001111","Patty Murray","F","sen","Democrat",40021
34972633,"PedroPierluisi","P000596","Pedro R. Pierluisi","M","rep","Democrat",44915
20015903,"PeterRoskam","R000580","Peter J. Roskam","M","rep","Republican",16521
1410590874,"PeterWelch","W000800","Peter Welch","M","rep","Democrat",4745
24735461,"PeteSessions","S000250","Pete Sessions","M","rep","Republican",16419
15160884,"Randy_Forbes","F000445","J. Randy Forbes","M","rep","Republican",15262
34340464,"RandyNeugebauer","N000182","Randy Neugebauer","M","rep","Republican",11209
246341769,"Raul_Labrador","L000573","Raúl R. Labrador","M","rep","Republican",9943
2193480787,"Rep_Albio_Sires","S001165","Albio Sires","M","rep","Democrat",29
344972339,"Rep_DevinNunes","N000181","Devin Nunes","M","rep","Republican",1051
1305596696,"Rep_Hunter","H001048","Duncan Hunter","M","rep","Republican",5168
339852137,"Rep_JaniceHahn","H001063","Janice Hahn","F","rep","Democrat",7855
234469322,"Rep_SteveWomack","W000809","Steve Womack","M","rep","Republican",9630
2962891515,"RepAbraham","A000374","Ralph Lee Abraham","M","rep","Republican",1579
2916086925,"RepAdams","A000370","Alma S. Adams","F","rep","Democrat",2028
29501253,"RepAdamSchiff","S001150","Adam B. Schiff","M","rep","Democrat",16296
58928690,"RepAdamSmith","S000510","Adam Smith","M","rep","Democrat",11417
296245061,"RepAdrianSmith","S001172","Adrian Smith","M","rep","Republican",4337
2964526557,"RepAlexMooney","M001195","Alexander X. Mooney","M","rep","Republican",2002
156333623,"RepAlGreen","G000553","Al Green","M","rep","Democrat",9462
3026622545,"RepAmata","R000600","Aumua Amata Coleman Radewagen","F","rep","Republican",309
199325935,"RepAndreCarson","C001072","André Carson","M","rep","Democrat",12609
1089334250,"RepAndyBarr","B001282","Andy Barr","M","rep","Republican",6442
960962340,"RepAndyHarrisMD","H001052","Andy Harris","M","rep","Republican",5332
249348006,"RepAnnaEshoo","E000215","Anna G. Eshoo","F","rep","Democrat",10734
1058717720,"RepAnnieKuster","K000382","Ann M. Kuster","F","rep","Democrat",7307
1051446626,"RepAnnWagner","W000812","Ann Wagner","F","rep","Republican",8395
248735463,"RepBarbaraLee","L000551","Barbara Lee","F","rep","Democrat",28161
1531521632,"RepBeatty","B001281","Joyce Beatty","F","rep","Democrat",4972
133832049,"RepBecerra","B000287","Xavier Becerra","M","rep","Democrat",20100
19318314,"RepBenRayLujan","L000570","Ben Ray Luján","M","rep","Democrat",9845
950783972,"RepBera","B001287","Ami Bera","M","rep","Democrat",8100
1134292500,"RepBetoORourke","O000170","Beto O'Rourke","M","rep","Democrat",13184
237312687,"RepBillFlores","F000461","Bill Flores","M","rep","Republican",10043
1080509366,"RepBillFoster","F000454","Bill Foster","M","rep","Democrat",5138
211530910,"RepBillJohnson","J000292","Bill Johnson","M","rep","Republican",10204
22527499,"RepBillShuster","S001154","Bill Shuster","M","rep","Republican",12508
1849261916,"RepBlainePress","L000569","Blaine Luetkemeyer","M","rep","Republican",2138
305216911,"RepBobbyRush","R000515","Bobby L. Rush","M","rep","Democrat",6038
161791703,"RepBobbyScott","S000185","Robert C. ""Bobby"" Scott","M","rep","Democrat",11531
234822928,"RepBobGibbs","G000563","Bob Gibbs","M","rep","Republican",9768
558769636,"RepBonamici","B001278","Suzanne Bonamici","F","rep","Democrat",5803
2964877294,"RepBost","B001295","Mike Bost","M","rep","Republican",1365
249339682,"RepBoustany","B001255","Charles W. Boustany Jr.","M","rep","Republican",6804
2964351843,"RepBradAshford","A000373","Brad Ashford","M","rep","Democrat",2650
518644221,"RepBradWenstrup","W000815","Brad R. Wenstrup","M","rep","Republican",4473
148453195,"RepBrady","B001227","Robert A. Brady","M","rep","Democrat",7403
231108733,"RepBrendanBoyle","B001296","Brendan F. Boyle","M","rep","Democrat",3158
2929491549,"RepBrianBabin","B001291","Brian Babin","M","rep","Republican",2227
33576489,"RepBrianHiggins","H001038","Brian Higgins","M","rep","Democrat",14405
2973870195,"RepBuddyCarter","C001103","Earl L. ""Buddy"" Carter","M","rep","Republican",1714
2253968388,"RepByrne","B001289","Bradley Byrne","M","rep","Republican",6059
1222257180,"RepCardenas","C001097","Tony Cárdenas","M","rep","Democrat",5209
776664410,"RepCartwright","C001090","Matt Cartwright","M","rep","Democrat",4273
1092979962,"RepCheri","B001286","Cheri Bustos","F","rep","Democrat",9299
1058256326,"RepChrisCollins","C001092","Chris Collins","M","rep","Republican",4149
234937222,"RepChrisGibson","G000564","Christopher P. Gibson","M","rep","Republican",8664
1289319271,"RepChrisSmith","S000522","Christopher H. Smith","M","rep","Republican",4083
1072008757,"RepChrisStewart","S001192","Chris Stewart","M","rep","Republican",4051
235190657,"RepChuck","F000459","Charles J. ""Chuck"" Fleischmann","M","rep","Republican",6894
462143773,"RepCicilline","C001084","David N. Cicilline","M","rep","Democrat",3421
163570705,"RepCleaver","C001061","Emanuel Cleaver","M","rep","Democrat",15706
162069635,"RepCohen","C001068","Steve Cohen","M","rep","Democrat",13602
2933760046,"RepComstock","C001105","Barbara Comstock","F","rep","Republican",2548
292935209,"RepCorrineBrown","B000911","Corrine Brown","F","rep","Democrat",8614
210926192,"RepCuellar","C001063","Henry Cuellar","M","rep","Democrat",10671
787373558,"RepCummings","C000984","Elijah E. Cummings","M","rep","Democrat",16691
2853309155,"RepCurbelo","C001107","Carlos Curbelo","M","rep","Republican",4240
2730150631,"RepCurtClawson","C001102","Curt Clawson","M","rep","Republican",2096
3353670647,"RepDanDonovan","D000625","Daniel M. Donovan Jr.","M","rep","Republican",302
1045110018,"RepDanKildee","K000380","Daniel T. Kildee","M","rep","Democrat",16646
789244177,"RepDannyDavis","D000096","Danny K. Davis","M","rep","Democrat",2167
2560169238,"RepDaveBrat","B001290","Dave Brat","M","rep","Republican",2567
976969338,"RepDaveJoyce","J000295","David P. Joyce","M","rep","Republican",4320
2869746172,"repdavetrott","T000475","David A. Trott","M","rep","Republican",1636
229197216,"RepDavid","S001183","David Schweikert","M","rep","Republican",11939
155669457,"RepDavidEPrice","P000523","David E. Price","M","rep","Democrat",8307
834069080,"RepDavidRouzer","R000603","David Rouzer","M","rep","Republican",1723
168673083,"RepDavidScott","S001157","David Scott","M","rep","Democrat",8532
1128514404,"RepDavidValadao","V000129","David G. Valadao","M","rep","Republican",4118
314205957,"RepDavidYoung","Y000066","David Young","M","rep","Republican",2851
2970279814,"RepDebDingell","D000624","Debbie Dingell","F","rep","Democrat",6852
995193054,"RepDelBene","D000617","Suzan K. DelBene","F","rep","Democrat",7492
33655490,"RepDennisRoss","R000593","Dennis A. Ross","M","rep","Republican",9224
1068499286,"RepDennyHeck","H001064","Denny Heck","M","rep","Democrat",4033
1058917562,"RepDerekKilmer","K000381","Derek Kilmer","M","rep","Democrat",5716
1058807868,"RepDeSantis","D000621","Ron DeSantis","M","rep","Republican",7539
2968007206,"RepDeSaulnier","D000623","Mark DeSaulnier","M","rep","Democrat",1457
28599820,"RepDianaDeGette","D000197","Diana DeGette","F","rep","Democrat",15712
110545675,"RepDianeBlack","B001273","Diane Black","F","rep","Republican",12244
122174004,"RepDinaTitus","T000468","Dina Titus","F","rep","Democrat",7619
584012853,"RepDLamborn","L000564","Doug Lamborn","M","rep","Republican",5128
245408102,"RepDold","D000613","Robert J. Dold","M","rep","Republican",4265
1155335864,"RepDonaldPayne","P000604","Donald M. Payne Jr.","M","rep","Democrat",3533
2962868158,"repdonbeyer","B001292","Donald S. Beyer Jr.","M","rep","Democrat",2676
82649553,"RepDonnaEdwards","E000290","Donna F. Edwards","F","rep","Democrat",20291
37007274,"RepDonYoung","Y000033","Don Young","M","rep","Republican",9457
1060487274,"RepDougCollins","C001093","Doug Collins","M","rep","Republican",4632
1058520120,"RepDuckworth","D000622","Tammy Duckworth","F","rep","Democrat",12129
1140648348,"RepDWStweets","W000797","Debbie Wasserman Schultz","F","rep","Democrat",6821
168502762,"RepEBJ","J000126","Eddie Bernice Johnson","F","rep","Democrat",12593
246769138,"RepEdRoyce","R000487","Edward R. Royce","M","rep","Republican",13105
234906311,"RepEdWhitfield","W000413","Ed Whitfield","M","rep","Republican",5572
164007407,"RepEliotEngel","E000179","Eliot L. Engel","M","rep","Democrat",9412
17513304,"RepErikPaulsen","P000594","Erik Paulsen","M","rep","Republican",12547
1060984272,"RepEsty","E000293","Elizabeth H. Esty","F","rep","Democrat",6762
2953713339,"RepEvanJenkins","J000297","Evan H. Jenkins","M","rep","Republican",2212
1083448909,"RepFilemonVela","V000132","Filemon Vela","M","rep","Democrat",3624
249219716,"RepFincherTN08","F000458","Stephen Lee Fincher","M","rep","Republican",8033
237944147,"RepFitzpatrick","F000451","Michael G. Fitzpatrick","M","rep","Republican",9280
84620376,"RepFleming","F000456","John Fleming","M","rep","Republican",11088
236960387,"RepFrankGuinta","G000570","Frank C. Guinta","M","rep","Republican",4344
242772524,"RepFrankLucas","L000491","Frank D. Lucas","M","rep","Republican",3612
124224165,"RepFredUpton","U000031","Fred Upton","M","rep","Republican",14136
2953974395,"RepFrenchHill","H001072","J. French Hill","M","rep","Republican",2202
88806753,"RepGaramendi","G000559","John Garamendi","M","rep","Democrat",12360
2951574214,"RepGarretGraves","G000577","Garret Graves","M","rep","Republican",1721
960696949,"RepGarrett","G000548","Scott Garrett","M","rep","Republican",4763
111635527,"RepGeneGreen","G000410","Gene Green","M","rep","Democrat",7691
37920978,"RepGoodlatte","G000289","Bob Goodlatte","M","rep","Republican",16167
240760644,"RepGosar","G000565","Paul A. Gosar","M","rep","Republican",14773
1051127714,"RepGraceMeng","M001188","Grace Meng","F","rep","Democrat",6784
32010840,"RepGregWalden","W000791","Greg Walden","M","rep","Republican",12882
2976606250,"RepGrothman","G000576","Glenn Grothman","M","rep","Republican",1124
26051676,"RepGusBilirakis","B001257","Gus M. Bilirakis","M","rep","Republican",12476
1908143071,"RepGuthrie","G000558","Brett Guthrie","M","rep","Republican",1873
2962681881,"RepGwenGraham","G000575","Gwen Graham","F","rep","Democrat",2300
22669526,"RepGwenMoore","M001160","Gwen Moore","F","rep","Democrat",13024
550401754,"RepHalRogers","R000395","Harold Rogers","M","rep","Republican",5984
24745957,"RepHankJohnson","J000288","Henry C. ""Hank"" Johnson Jr.","M","rep","Democrat",13397
2964222544,"RepHardy","H001070","Cresent Hardy","M","rep","Republican",1824
237763317,"RepHartzler","H001053","Vicky Hartzler","F","rep","Republican",9004
2433737761,"RepHastingsFL","H000324","Alcee L. Hastings","M","rep","Democrat",2415
18566912,"RepHensarling","H001036","Jeb Hensarling","M","rep","Republican",13369
1058460818,"RepHolding","H001065","George Holding","M","rep","Republican",5155
1071102246,"RepHuffman","H001068","Jared Huffman","M","rep","Democrat",5617
233949261,"RepHuizenga","H001058","Bill Huizenga","M","rep","Republican",10216
237814920,"RepHultgren","H001059","Randy Hultgren","M","rep","Republican",8714
1623308912,"RepJasonSmith","S001195","Jason Smith","M","rep","Republican",3832
1092757885,"RepJBridenstine","B001283","Jim Bridenstine","M","rep","Republican",16969
248699486,"RepJeffDenham","D000612","Jeff Denham","M","rep","Republican",9901
240393970,"RepJeffDuncan","D000615","Jeff Duncan","M","rep","Republican",29185
467823431,"RepJeffries","J000294","Hakeem S. Jeffries","M","rep","Democrat",8265
40302336,"RepJerryNadler","N000002","Jerrold Nadler","M","rep","Democrat",9258
22523087,"RepJimCooper","C000754","Jim Cooper","M","rep","Democrat",7657
245451804,"RepJimCosta","C001059","Jim Costa","M","rep","Democrat",4478
132201224,"RepJimMcDermott","M000404","Jim McDermott","M","rep","Democrat",12702
236916916,"RepJimRenacci","R000586","James B. Renacci","M","rep","Republican",9645
19929362,"RepJoeBarton","B000213","Joe Barton","M","rep","Republican",15831
85396297,"RepJoeCourtney","C001069","Joe Courtney","M","rep","Democrat",11013
111635980,"RepJoeCrowley","C001038","Joseph Crowley","M","rep","Democrat",9389
222286905,"RepJoeHeck","H001055","Joseph J. Heck","M","rep","Republican",9031
1055907624,"RepJoeKennedy","K000379","Joseph P. Kennedy III","M","rep","Democrat",18509
198526130,"RepJoePitts","P000373","Joseph R. Pitts","M","rep","Republican",7915
254082173,"RepJoeWilson","W000795","Joe Wilson","M","rep","Republican",5066
138770045,"RepJohnConyers","C000714","John Conyers Jr.","M","rep","Democrat",18477
937723303,"RepJohnDelaney","D000620","John K. Delaney","M","rep","Democrat",5126
1883356866,"RepJohnDuncanJr","D000533","John J. Duncan Jr.","M","rep","Republican",2063
2966765501,"RepJohnKatko","K000386","John Katko","M","rep","Republican",1966
76350004,"RepJohnKline","K000363","John Kline","M","rep","Republican",8081
50452197,"RepJohnLarson","L000557","John B. Larson","M","rep","Democrat",10978
29450962,"RepJohnLewis","L000287","John Lewis","M","rep","Democrat",94319
384913290,"RepJohnYarmuth","Y000062","John A. Yarmuth","M","rep","Democrat",9864
